OpSys_No OS,company_MSI,CPU_BRAND_AMD,CPU_BRAND_Intel,GPU_BRAND_Intel,GPU_BRAND_AMD,company_Acer,Weight,Memory_Type_Flash,typeName_Workstation,typeName_Ultrabook,GPU_BRAND_Nvidia,typeName_Gaming,Memory_Type_HDD,CPU_FREQUENCY,Memory_Type_SSD,typeName_Notebook,ScreenHeight,ScreenWidth,Ram,Price_euros
0,0,0,1,0,0,0,2.9,0,0,0,1,1,0,2.8,1,0,1080,1920,16,1407.0
1,0,0,1,1,0,0,2.1,0,0,0,0,0,1,2.0,0,1,1080,1920,4,349.0
1,0,0,1,1,0,0,2.2,0,0,0,0,0,0,2.5,1,1,1080,1920,8,549.0
0,0,0,1,1,0,0,1.05,0,0,1,0,0,0,2.7,1,0,1440,2160,8,1499.0
0,0,0,1,0,1,0,1.4,0,0,1,0,0,0,1.8,1,0,1080,1920,8,931.88
1,0,0,1,0,0,0,2.8,0,0,0,1,0,1,2.5,0,1,900,1600,8,589.0
0,0,0,1,0,0,0,1.63,0,0,0,1,0,0,1.8,1,1,1080,1920,8,1031.0
0,0,0,1,1,0,0,1.6,0,0,1,0,0,0,1.6,1,0,1080,1920,8,1149.0
0,0,0,1,1,0,0,1.62,0,0,0,0,0,0,1.8,1,0,1080,1920,16,1279.0
0,0,0,1,0,1,0,2.2,0,0,0,0,0,0,1.6,1,1,1080,1920,8,677.35
0,0,0,1,1,0,0,1.74,0,0,0,0,0,0,1.6,1,0,1080,1920,8,899.0
0,0,0,1,1,0,0,1.2,0,0,1,0,0,0,2.5,1,0,1080,1920,8,1363.0
0,0,0,1,1,0,0,2.1,0,0,0,0,0,1,1.6,0,1,1080,1920,8,794.0
0,0,0,1,0,0,0,4.42,0,0,0,1,1,0,2.8,1,0,1080,1920,16,2456.34
0,0,0,1,0,0,1,2.2,0,0,0,1,0,0,2.7,1,1,1080,1920,8,832.0
0,0,0,1,0,1,0,2.3,0,0,0,0,0,1,2.7,0,1,1080,1920,16,859.01
0,0,0,1,0,0,0,2.0,0,0,0,1,0,0,2.5,1,1,1080,1920,8,769.0
0,0,0,1,0,0,0,2.69,0,0,0,1,0,0,2.5,1,1,1080,1920,8,891.0
0,0,0,1,0,1,0,1.9,0,0,0,0,0,1,2.7,0,1,1080,1920,8,1269.0
0,0,0,1,1,0,0,2.37,0,0,0,0,0,1,2.4,0,1,768,1366,4,398.99
0,0,1,0,0,1,0,2.1,0,0,0,0,0,1,1.5,0,1,768,1366,4,330.0
0,0,0,1,0,0,0,3.2,0,0,0,1,1,0,2.8,1,0,1080,1920,16,1499.0
0,0,0,1,1,0,0,1.6,0,0,0,0,0,0,2.5,1,1,1080,1920,8,859.0
0,0,0,1,1,0,1,1.6,0,0,0,0,0,0,2.3,1,0,1080,1920,8,689.0
0,0,0,1,0,1,0,2.36,0,0,0,0,0,0,2.7,1,1,1080,1920,16,899.0
0,0,0,1,1,0,1,2.1,0,0,0,0,0,1,2.0,0,1,768,1366,4,390.0
0,0,1,0,0,1,0,2.2,0,0,0,0,0,0,2.5,1,1,1080,1920,4,575.0
0,0,0,1,0,0,0,4.7,0,0,0,1,1,0,2.9,1,0,1080,1920,32,3890.0
0,0,0,1,0,0,1,2.5,0,0,0,1,1,0,2.5,1,0,1080,1920,8,846.0
0,0,0,1,1,0,0,2.2,0,0,0,0,0,0,2.0,1,1,768,1366,8,589.0
0,0,0,1,0,0,0,2.1,0,0,0,1,0,0,1.8,1,1,1080,1920,8,1145.0
1,0,0,1,0,0,0,2.69,0,0,0,1,0,0,2.7,1,1,1080,1920,8,889.0
0,0,0,1,0,0,0,2.56,0,0,0,1,1,0,2.5,1,0,1080,1920,8,879.0
0,0,0,1,1,0,0,1.38,0,0,0,0,0,0,2.7,1,0,1080,1920,8,1079.0
0,0,0,1,0,1,0,2.2,0,0,0,0,0,0,1.8,1,1,1080,1920,8,985.0
0,0,0,1,1,0,0,2.04,0,0,0,0,0,1,2.5,0,1,768,1366,8,559.0
0,0,0,1,0,0,0,3.6,0,0,0,1,1,0,2.9,1,0,1080,1920,16,2999.0
0,0,0,1,1,0,0,1.49,0,0,0,0,0,1,1.6,0,1,1080,1920,4,675.0
0,0,0,1,1,0,0,1.37,0,0,1,0,0,0,3.1,1,0,1600,2560,8,2040.0
0,0,0,1,1,0,0,2.08,0,0,0,0,0,1,1.8,0,0,1080,1920,8,819.0
0,0,0,1,0,0,0,4.3,0,0,0,1,1,0,2.8,1,0,1080,1920,16,1799.0
0,0,1,0,0,1,0,1.68,0,0,0,0,0,1,3.0,0,1,768,1366,4,469.0
0,0,0,1,1,0,0,1.37,0,0,0,0,0,0,1.8,1,0,1080,1920,8,1849.0
0,0,0,1,0,0,1,3.0,0,0,0,1,0,0,2.7,1,1,1080,1920,4,702.0
0,0,0,1,1,0,0,1.41,0,0,1,0,0,0,1.6,1,0,1080,1920,8,949.0
0,0,1,0,0,1,0,1.91,0,0,0,0,0,0,2.5,1,1,768,1366,8,445.9
0,0,0,1,0,0,0,2.9,0,0,0,1,0,1,1.8,0,1,1080,1920,16,1059.0
0,1,0,1,0,0,0,4.14,0,0,0,1,1,0,2.8,1,0,1080,1920,16,2499.0
